"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"240","Shawn Marion",79,"220",79.1896551724138,224.65,1999
"241","Jason Terry",74,"176",79.1896551724138,224.65,1999
"242","Trajan Langdon",75,"197",79.1896551724138,224.65,1999
"243","Alek Radojevic",87,"242",79.1896551724138,224.65,1999
"244","Corey Maggette",78,"218",79.1896551724138,224.65,1999
"245","William Avery",74,"197",79.1896551724138,224.65,1999
"246","Frederic Weis",86,"248",79.1896551724138,224.65,1999
"247","Ron Artest",78,"244",79.1896551724138,224.65,1999
"248","Cal Bowdler",82,"245",79.1896551724138,224.65,1999
"249","James Posey",80,"215",79.1896551724138,224.65,1999
"250","Quincy Lewis",79,"215",79.1896551724138,224.65,1999
"251","Dion Glover",77,"228",79.1896551724138,224.65,1999
"252","Jeff Foster",83,"236",79.1896551724138,224.65,1999
"253","Kenny Thomas",79,"261",79.1896551724138,224.65,1999
"254","Devean George",80,"220",79.1896551724138,224.65,1999
"255","Andrei Kirilenko",81,"210",79.1896551724138,224.65,1999
"256","Tim James",79,"212",79.1896551724138,224.65,1999
"257","Vonteego Cummings",75,"185",79.1896551724138,224.65,1999
"258","Jumaine Jones",80,"218",79.1896551724138,224.65,1999
"259","Scott Padgett",81,"240",79.1896551724138,224.65,1999
"260","Leon Smith",82,"235",79.1896551724138,224.65,1999
"261","John Celestand",76,"178",79.1896551724138,224.65,1999
"262","Rico Hill",77,"247",79.1896551724138,224.65,1999
"263","Michael Ruffin",81,"246",79.1896551724138,224.65,1999
"264","Chris Herren",74,"197",79.1896551724138,224.65,1999
"265","Evan Eschmeyer",83,"255",79.1896551724138,224.65,1999
"266","Calvin Booth",83,"230",79.1896551724138,224.65,1999
"267","Wang ZhiZhi",84,"255",79.1896551724138,224.65,1999
"268","Obinna Ekezie",81,"270",79.1896551724138,224.65,1999
"269","Laron Profit",77,"204",79.1896551724138,224.65,1999
"270","A.J. Bramlett",82,"227",79.1896551724138,224.65,1999
"271","Gordan Giricek",77,"210",79.1896551724138,224.65,1999
"272","Francisco Elson",83,"231",79.1896551724138,224.65,1999
"273","Louis Bullock",73,"182",79.1896551724138,224.65,1999
"274","Lee Nailon",80,"241",79.1896551724138,224.65,1999
"275","Tyrone Washington",80,"261",79.1896551724138,224.65,1999
"276","Ryan Robertson",77,"190",79.1896551724138,224.65,1999
"277","J.R. Koch",82,"225",79.1896551724138,224.65,1999
"278","Todd MacCulloch",84,"280",79.1896551724138,224.65,1999
"279","Galen Young",77,"210",79.1896551724138,224.65,1999
"280","Lari Ketner",81,"277",79.1896551724138,224.65,1999
"281","Venson Hamilton",82,"241",79.1896551724138,224.65,1999
"282","Antwain Smith",78,"213",79.1896551724138,224.65,1999
"283","Roberto Bergersen",77,"208",79.1896551724138,224.65,1999
